timestamp,current,voltage
17610,1.25,5030.00
17612,1.25,5032.50
17615,1.25,5028.75
17617,0.00,5028.75
17619,0.00,5027.50
17622,1.25,5028.75
17624,1.25,5030.00
17627,2.50,5031.25
17629,1.25,5030.00
17631,0.00,5028.75
17633,1.25,5028.75
17636,2.50,5032.50
17638,0.00,5030.00
17640,1.25,5031.25
17642,-1.25,5028.75
17645,0.00,5030.00
17647,1.25,5032.50
17649,1.25,5030.00
17651,1.25,5028.75
17653,1.25,5027.50
17656,1.25,5027.50
17658,1.25,5031.25
17660,1.25,5032.50
17662,1.25,5028.75
17666,2.50,5026.25
17668,1.25,5028.75
17670,0.00,5028.75
17672,-1.25,5031.25
17675,0.00,5031.25
17677,1.25,5027.50
17679,2.50,5028.75
17681,1.25,5028.75
17684,0.00,5030.00
17686,0.00,5031.25
17688,2.50,5028.75
17690,2.50,5027.50
17692,0.00,5028.75
17695,1.25,5031.25
17697,0.00,5031.25
17699,0.00,5028.75
17701,1.25,5028.75
17703,2.50,5027.50
17707,1.25,5028.75
17709,0.00,5031.25
17711,1.25,5033.75
17713,1.25,5027.50
17716,0.00,5026.25
17718,1.25,5027.50
17720,0.00,5030.00
17722,0.00,5032.50
17725,0.00,5028.75
17727,1.25,5027.50
17729,1.25,5027.50
17731,1.25,5030.00
17733,0.00,5031.25
17736,0.00,5031.25
17738,-1.25,5027.50
17740,1.25,5027.50
17742,1.25,5027.50
17745,2.50,5030.00
17747,0.00,5032.50
17750,-2.50,5028.75
17752,0.00,5027.50
17754,1.25,5027.50
17757,1.25,5032.50
17759,1.25,5030.00
17761,0.00,5027.50
17763,1.25,5027.50
17766,0.00,5028.75
17768,2.50,5031.25
17770,0.00,5031.25
17772,2.50,5028.75
17775,0.00,5028.75
17777,1.25,5028.75
17779,1.25,5030.00
17781,1.25,5032.50
17783,0.00,5028.75
17786,1.25,5028.75
17788,1.25,5027.50
17790,1.25,5028.75
17793,1.25,5031.25
17796,0.00,5033.75
17798,1.25,5026.25
17800,2.50,5026.25
17802,0.00,5028.75
17805,0.00,5031.25
17807,1.25,5030.00
17809,1.25,5030.00
17811,1.25,5028.75
17813,0.00,5027.50
17816,1.25,5028.75
17818,0.00,5028.75
17820,0.00,5031.25
17822,1.25,5028.75
17825,0.00,5028.75
17827,0.00,5030.00
17829,0.00,5031.25
17831,1.25,5031.25
17833,2.50,5030.00
17837,1.25,5027.50
17839,1.25,5030.00
17841,1.25,5031.25
17843,1.25,5031.25
17846,0.00,5030.00
17848,0.00,5027.50
17850,1.25,5027.50
17852,1.25,5028.75
17854,0.00,5031.25
17857,0.00,5031.25
17859,1.25,5030.00
17861,2.50,5027.50
17863,0.00,5028.75
17866,1.25,5030.00
17868,-1.25,5031.25
17870,1.25,5028.75
17872,1.25,5028.75
17875,0.00,5027.50
17878,0.00,5031.25
17880,1.25,5030.00
17882,1.25,5028.75
17884,1.25,5027.50
17887,0.00,5027.50
17889,0.00,5031.25
17891,0.00,5031.25
17893,1.25,5028.75
17896,0.00,5028.75
17898,0.00,5028.75
17900,1.25,5030.00
17902,1.25,5031.25
17905,1.25,5031.25
17907,1.25,5028.75
17909,1.25,5027.50
17911,0.00,5030.00
17913,2.50,5031.25
17916,1.25,5030.00
17918,1.25,5028.75
17921,1.25,5028.75
17923,1.25,5027.50
17926,2.50,5030.00
17928,0.00,5031.25
17930,2.50,5031.25
17932,2.50,5027.50
17935,2.50,5027.50
17937,1.25,5030.00
17939,0.00,5031.25
17941,0.00,5031.25
17943,0.00,5028.75
17946,1.25,5027.50
17948,0.00,5027.50
17950,0.00,5030.00
17952,1.25,5032.50
17954,1.25,5030.00
17957,1.25,5027.50
17959,0.00,5027.50
17961,2.50,5030.00
17964,1.25,5031.25
17967,0.00,5030.00
17969,0.00,5027.50
17971,0.00,5028.75
17973,0.00,5026.25
17975,-1.25,5031.25
17978,1.25,5030.00
17980,1.25,5028.75
17982,1.25,5028.75
17984,2.50,5028.75
17987,2.50,5031.25
17989,1.25,5030.00
17991,0.00,5027.50
17993,0.00,5027.50
17995,0.00,5028.75
17998,0.00,5030.00
18000,1.25,5030.00
18002,1.25,5028.75
18004,2.50,5030.00
18008,1.25,5028.75
18010,1.25,5032.50
18012,1.25,5031.25
18014,1.25,5031.25
18017,1.25,5028.75
18019,1.25,5026.25
18021,0.00,5030.00
18023,0.00,5031.25
18025,1.25,5030.00
18028,1.25,5027.50
18030,0.00,5028.75
18032,1.25,5030.00
18034,1.25,5028.75
18037,1.25,5031.25
18039,0.00,5030.00
18041,0.00,5027.50
18043,0.00,5028.75
18045,1.25,5028.75
18049,0.00,5032.50
18051,3.75,5031.25
18053,1.25,5028.75
18055,1.25,5026.25
18058,2.50,5028.75
18060,1.25,5032.50
18062,0.00,5031.25
18064,0.00,5028.75
18066,1.25,5026.25
18069,1.25,5028.75
18071,0.00,5030.00
18073,0.00,5031.25
18075,1.25,5028.75
18078,0.00,5028.75
18080,1.25,5028.75
18082,0.00,5028.75
18084,0.00,5031.25
18086,0.00,5031.25
18089,2.50,5028.75
18092,1.25,5027.50
18094,1.25,5030.00
18096,0.00,5030.00
18099,1.25,5030.00
18101,0.00,5030.00
18103,2.50,5027.50
18105,0.00,5027.50
18107,2.50,5030.00
18110,1.25,5031.25
18112,2.50,5030.00
18114,0.00,5026.25
18116,0.00,5028.75
18119,1.25,5031.25
18121,1.25,5031.25
18123,-1.25,5028.75
18125,0.00,5027.50
18128,0.00,5028.75
18130,1.25,5030.00
18132,1.25,5031.25
18135,1.25,5028.75
18137,1.25,5027.50
18140,1.25,5027.50
18142,1.25,5030.00
18144,2.50,5032.50
18146,1.25,5031.25
18149,1.25,5027.50
18151,1.25,5027.50
18153,1.25,5028.75
18155,0.00,5031.25
18158,0.00,5030.00
18160,2.50,5030.00
18162,0.00,5028.75
18164,1.25,5026.25
18166,0.00,5030.00
18169,1.25,5032.50
18171,0.00,5030.00
18173,1.25,5027.50
18176,2.50,5030.00
18179,2.50,5028.75
18181,1.25,5031.25
18183,0.00,5030.00
18185,2.50,5031.25
18187,1.25,5027.50
18190,0.00,5027.50
18192,1.25,5030.00
18194,1.25,5031.25
18196,1.25,5028.75
18199,1.25,5031.25
18201,1.25,5030.00
18203,0.00,5028.75
18205,1.25,5030.00
18208,2.50,5028.75
18210,1.25,5028.75
18212,1.25,5027.50
18214,1.25,5028.75
18216,2.50,5030.00
18220,0.00,5030.00
18222,0.00,5030.00
18224,1.25,5028.75
18226,-1.25,5030.00
18229,2.50,5031.25
18231,1.25,5031.25
18233,1.25,5027.50
18235,1.25,5030.00
18238,1.25,5028.75
18240,1.25,5031.25
18242,0.00,5031.25
18244,-1.25,5030.00
18247,-1.25,5027.50
18249,1.25,5028.75
18251,2.50,5030.00
18253,-1.25,5030.00
18255,1.25,5032.50
18258,1.25,5026.25
18260,2.50,5027.50
18263,1.25,5028.75
18265,1.25,5030.00
18268,1.25,5032.50
18270,1.25,5031.25
18272,0.00,5027.50
18274,1.25,5028.75
18277,1.25,5030.00
18279,1.25,5031.25
18281,2.50,5031.25
18283,1.25,5028.75
18285,-1.25,5027.50
18288,0.00,5028.75
18290,1.25,5032.50
18292,1.25,5031.25
18294,1.25,5028.75
18297,0.00,5028.75
18299,0.00,5028.75
18301,1.25,5030.00
18304,1.25,5030.00
18307,1.25,5028.75
18309,2.50,5027.50
18311,0.00,5028.75
18313,1.25,5030.00
18315,0.00,5031.25
18318,0.00,5031.25
18320,1.25,5028.75
18322,1.25,5027.50
18324,1.25,5027.50
18327,2.50,5032.50
18329,0.00,5030.00
18331,0.00,5028.75
18333,0.00,5027.50
18335,1.25,5031.25
18338,1.25,5031.25
18340,1.25,5030.00
18342,1.25,5028.75
18344,1.25,5027.50
18348,0.00,5028.75
18350,2.50,5031.25
18352,1.25,5031.25
18354,0.00,5028.75
18357,2.50,5028.75
18359,0.00,5028.75
18361,0.00,5030.00
18363,0.00,5031.25
18365,0.00,5028.75
18368,1.25,5028.75
18370,0.00,5028.75
18372,1.25,5028.75
18374,1.25,5030.00
18377,1.25,5028.75
18379,1.25,5027.50
18381,1.25,5027.50
18383,1.25,5028.75
18386,2.50,5031.25
18388,1.25,5031.25
18391,2.50,5030.00
18393,1.25,5027.50
18396,2.50,5026.25
18398,0.00,5030.00
18400,0.00,5030.00
18402,1.25,5030.00
18404,0.00,5027.50
18407,1.25,5028.75
18409,1.25,5028.75
18411,1.25,5031.25
18413,1.25,5031.25
18416,2.50,5030.00
18418,-1.25,5026.25
18420,1.25,5028.75
18422,1.25,5031.25
18425,1.25,5032.50
18427,1.25,5031.25
18429,1.25,5027.50
18432,0.00,5028.75
18434,0.00,5030.00
18437,0.00,5031.25
18439,3.75,5030.00
18441,0.00,5028.75
18443,1.25,5028.75
18446,1.25,5031.25
18448,-1.25,5031.25
18450,1.25,5028.75
18452,0.00,5028.75
18454,1.25,5028.75
18457,0.00,5030.00
18459,1.25,5030.00
18461,1.25,5030.00
18463,2.50,5028.75
18466,1.25,5027.50
18468,1.25,5028.75
18470,-1.25,5032.50
18472,1.25,5032.50
18476,1.25,5028.75
18478,1.25,5027.50
18480,1.25,5026.25
18482,0.00,5031.25
18485,0.00,5031.25
18487,1.25,5028.75
18489,1.25,5026.25
18491,2.50,5028.75
18493,-1.25,5028.75
18496,0.00,5032.50
18498,1.25,5030.00
18500,0.00,5028.75
18502,0.00,5027.50
18505,1.25,5028.75
18507,1.25,5031.25
18509,1.25,5031.25
18511,1.25,5030.00
18514,0.00,5028.75
18516,0.00,5030.00
18519,1.25,5028.75
18521,1.25,5032.50
18523,0.00,5031.25
18526,0.00,5028.75
18528,1.25,5027.50
18530,0.00,5027.50
18532,1.25,5031.25
18535,0.00,5032.50
18537,0.00,5028.75
18539,1.25,5027.50
18541,0.00,5028.75
18543,1.25,5031.25
18546,-1.25,5031.25
18548,1.25,5028.75
18550,1.25,5030.00
18552,1.25,5028.75
18555,1.25,5031.25
18557,1.25,5030.00
18560,0.00,5028.75
18562,0.00,5028.75
18565,1.25,5030.00
18567,2.50,5030.00
18569,2.50,5031.25
18571,1.25,5031.25
18573,0.00,5026.25
18576,1.25,5026.25
18578,1.25,5028.75
18580,3.75,5032.50
18582,2.50,5030.00
18585,1.25,5030.00
18587,0.00,5027.50
18589,1.25,5027.50
18591,1.25,5030.00
18594,2.50,5031.25
18596,0.00,5028.75
18598,1.25,5027.50
18600,1.25,5027.50
18603,1.25,5031.25
18606,0.00,5031.25
18608,2.50,5031.25
18610,1.25,5028.75
18612,1.25,5028.75
18615,0.00,5027.50
18617,1.25,5031.25
18619,1.25,5031.25
18621,1.25,5028.75
18624,2.50,5028.75
18626,1.25,5028.75
18628,1.25,5031.25
18630,1.25,5030.00
18633,1.25,5028.75
18635,1.25,5027.50
18637,1.25,5028.75
18639,0.00,5028.75
18641,-1.25,5031.25
18644,1.25,5032.50
18647,0.00,5028.75
18649,0.00,5027.50
18651,1.25,5031.25
18654,1.25,5030.00
18656,0.00,5027.50
18658,2.50,5026.25
18660,1.25,5028.75
18663,1.25,5028.75
18665,0.00,5031.25
18667,1.25,5028.75
18669,0.00,5028.75
18671,0.00,5028.75
18674,2.50,5028.75
18676,0.00,5030.00
18678,0.00,5031.25
18680,2.50,5030.00
18683,2.50,5026.25
18685,1.25,5027.50
18688,1.25,5030.00
18690,1.25,5030.00
18692,1.25,5030.00
18695,1.25,5027.50
18697,1.25,5028.75
18699,1.25,5028.75
18701,2.50,5031.25
18704,1.25,5031.25
18706,1.25,5027.50
18708,2.50,5028.75
18710,2.50,5028.75
18713,1.25,5031.25
18715,1.25,5030.00
18717,1.25,5027.50
18719,1.25,5028.75
18722,2.50,5027.50
18724,1.25,5030.00
18726,0.00,5031.25
18728,1.25,5032.50
18732,0.00,5027.50
18734,1.25,5027.50
18736,1.25,5028.75
18738,-1.25,5030.00
18740,0.00,5031.25
18743,1.25,5028.75
18745,0.00,5027.50
18747,0.00,5028.75
18749,1.25,5030.00
18752,1.25,5031.25
18754,1.25,5031.25
18756,-1.25,5028.75
18758,2.50,5028.75
18761,1.25,5031.25
18763,1.25,5031.25
18765,0.00,5027.50
18767,0.00,5028.75
18769,1.25,5028.75
18772,1.25,5030.00
18775,0.00,5031.25
18777,1.25,5030.00
18779,0.00,5027.50
18782,1.25,5027.50
18784,1.25,5028.75
18786,1.25,5028.75
18788,0.00,5031.25
18791,1.25,5028.75
18793,0.00,5028.75
18795,1.25,5027.50
18797,1.25,5030.00
18799,1.25,5031.25
18802,1.25,5031.25
18804,1.25,5027.50
18806,0.00,5026.25
18808,2.50,5028.75
18811,0.00,5032.50
18813,2.50,5031.25
18816,0.00,5028.75
18818,2.50,5028.75
18821,1.25,5028.75
18823,1.25,5031.25
18825,1.25,5031.25
18827,2.50,5028.75
18830,1.25,5027.50
18832,1.25,5027.50
18834,1.25,5030.00
18836,2.50,5030.00
18838,1.25,5030.00
18841,1.25,5028.75
18843,1.25,5028.75
18845,1.25,5028.75
18847,0.00,5032.50
18850,2.50,5028.75
18852,1.25,5026.25
18854,1.25,5027.50
18856,1.25,5030.00
18860,-1.25,5032.50
18862,1.25,5030.00
18864,-1.25,5026.25
18866,1.25,5026.25
18869,1.25,5030.00
18871,1.25,5031.25
18873,1.25,5031.25
18875,1.25,5028.75
18878,2.50,5026.25
18880,1.25,5028.75
18882,1.25,5031.25
18884,0.00,5030.00
18887,0.00,5028.75
18889,1.25,5028.75
18891,0.00,5028.75
18893,1.25,5028.75
18895,0.00,5030.00
18898,2.50,5030.00
18900,-1.25,5027.50
18903,1.25,5028.75
18905,1.25,5028.75
18908,2.50,5031.25
18910,1.25,5031.25
18912,1.25,5028.75
18914,0.00,5027.50
18916,1.25,5027.50
18919,1.25,5030.00
18921,1.25,5032.50
18923,-1.25,5030.00
18925,1.25,5027.50
18928,0.00,5027.50
18930,1.25,5028.75
18932,1.25,5031.25
18934,0.00,5028.75
18937,1.25,5027.50
18939,0.00,5027.50
18941,2.50,5028.75
18944,2.50,5030.00
18947,2.50,5031.25
18949,1.25,5028.75
18951,1.25,5027.50
18953,0.00,5027.50
18955,1.25,5031.25
18958,0.00,5031.25
18960,1.25,5028.75
18962,1.25,5027.50
18964,1.25,5028.75
18967,1.25,5031.25
18969,-1.25,5030.00
18971,0.00,5028.75
18973,1.25,5028.75
18976,2.50,5028.75
18978,2.50,5030.00
18980,1.25,5032.50
18982,1.25,5030.00
18985,1.25,5027.50
18988,0.00,5027.50
18990,1.25,5027.50
18992,1.25,5031.25
18994,1.25,5031.25
18997,1.25,5027.50
18999,1.25,5030.00
19001,2.50,5027.50
19003,1.25,5031.25
19006,0.00,5032.50
19008,1.25,5028.75
19010,1.25,5028.75
19012,0.00,5028.75
19015,1.25,5030.00
19017,0.00,5031.25
19019,0.00,5030.00
19021,1.25,5028.75
19023,1.25,5027.50
19026,2.50,5027.50
19028,0.00,5030.00
19031,1.25,5031.25
19033,1.25,5028.75
19036,-1.25,5027.50
19038,2.50,5028.75
19040,1.25,5030.00
19042,1.25,5030.00
19045,1.25,5030.00
19047,0.00,5027.50
19049,1.25,5028.75
19051,0.00,5028.75
19053,2.50,5031.25
19056,1.25,5028.75
19058,1.25,5028.75
19060,0.00,5030.00
19062,1.25,5031.25
19065,0.00,5031.25
19067,1.25,5030.00
19069,0.00,5028.75
19072,1.25,5028.75
19075,0.00,5030.00
19077,2.50,5031.25
19079,1.25,5030.00
19081,1.25,5030.00
19083,1.25,5028.75
19086,1.25,5027.50
19088,1.25,5031.25
19090,1.25,5032.50
19092,2.50,5028.75
19095,1.25,5028.75
19097,1.25,5028.75
19099,1.25,5030.00
19101,0.00,5030.00
19104,1.25,5030.00
19106,1.25,5026.25
19108,2.50,5028.75
19110,0.00,5028.75
19113,1.25,5031.25
19116,2.50,5032.50
19118,1.25,5028.75
19120,1.25,5028.75
19122,0.00,5028.75
19125,1.25,5028.75
19127,1.25,5030.00
19129,0.00,5031.25
19131,2.50,5027.50
19134,1.25,5030.00
19136,0.00,5028.75
19138,1.25,5030.00
19140,1.25,5031.25
19143,1.25,5027.50
19145,1.25,5028.75
19147,1.25,5027.50
19149,-1.25,5030.00
19152,0.00,5031.25
19154,1.25,5030.00
19156,1.25,5027.50
19159,1.25,5030.00
19161,2.50,5031.25
19164,2.50,5030.00
19166,1.25,5027.50
19168,-1.25,5027.50
19170,1.25,5030.00
19173,1.25,5031.25
19175,0.00,5032.50
19177,1.25,5028.75
19179,1.25,5028.75
19182,1.25,5027.50
19184,1.25,5030.00
19186,1.25,5031.25
19188,1.25,5030.00
19191,0.00,5028.75
19193,1.25,5028.75
19195,-1.25,5027.50
19197,1.25,5031.25
19200,0.00,5032.50
19203,1.25,5030.00
19205,0.00,5028.75
19207,1.25,5027.50
19209,0.00,5030.00
19212,1.25,5032.50
19214,0.00,5030.00
19216,2.50,5028.75
19218,0.00,5025.00
19220,2.50,5030.00
19223,3.75,5031.25
19225,1.25,5030.00
19227,1.25,5030.00
19229,0.00,5028.75
19232,0.00,5030.00
19234,0.00,5030.00
19236,1.25,5028.75
19238,1.25,5030.00
19240,1.25,5030.00
19244,0.00,5027.50
19246,3.75,5028.75
19248,0.00,5030.00
19250,0.00,5031.25
19252,0.00,5027.50
19255,1.25,5027.50
19257,1.25,5027.50
19259,0.00,5030.00
19261,0.00,5031.25
19264,1.25,5028.75
19266,0.00,5027.50
19268,0.00,5027.50
19270,1.25,5030.00
